,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
811908,tt1723816,tvSeries,Girls,Girls,0,2012,2017,28,"Comedy,Drama",7.4,78700
703793,tt1442462,tvSeries,The Good Wife,The Good Wife,0,2009,2016,43,"Crime,Drama,Mystery",8.4,84142
1010372,tt2707408,tvSeries,Narcos,Narcos,0,2015,2017,50,"Biography,Crime,Drama",8.7,480324
151941,tt0238784,tvSeries,Gilmore Girls,Gilmore Girls,0,2000,2007,44,"Comedy,Drama",8.2,152486
979516,tt2467372,tvSeries,Brooklyn Nine-Nine,Brooklyn Nine-Nine,0,2013,2021,22,"Comedy,Crime",8.4,376445
60238,tt0083399,tvSeries,Cheers,Cheers,0,1982,1993,22,"Comedy,Drama",8.0,63227
1252279,tt5348176,tvSeries,Barry,Barry,0,2018,2023,30,"Action,Comedy,Crime",8.3,126460
222048,tt0387764,tvSeries,Peep Show,Peep Show,0,2003,2015,25,Comedy,8.7,67754
1103715,tt3230854,tvSeries,The Expanse,The Expanse,0,2015,2022,60,"Drama,Mystery,Sci-Fi",8.5,176227
821727,tt1759761,tvSeries,Veep,Veep,0,2012,2019,28,Comedy,8.4,65471
496751,tt10574558,tvMiniSeries,Midnight Mass,Midnight Mass,0,2021,2021,60,"Drama,Fantasy,Horror",7.7,149854
536520,tt1124373,tvSeries,Sons of Anarchy,Sons of Anarchy,0,2008,2014,45,"Crime,Drama,Thriller",8.6,329606
1389169,tt7772588,tvSeries,For All Mankind,For All Mankind,0,2019,\N,60,"Drama,Sci-Fi",8.1,73140
1445785,tt9059760,tvMiniSeries,Normal People,Normal People,0,2020,2020,28,"Drama,Romance",8.4,96257
1357062,tt7120662,tvSeries,Derry Girls,Derry Girls,0,2018,2022,30,Comedy,8.5,63533
392367,tt0773262,tvSeries,Dexter,Dexter,0,2006,2013,60,"Crime,Drama,Mystery",8.6,791829
49368,tt0070909,movie,Westworld,Westworld,0,1973,\N,88,"Action,Drama,Sci-Fi",6.9,63775
259187,tt0475784,tvSeries,Westworld,Westworld,0,2016,2022,60,"Drama,Mystery,Sci-Fi",8.5,539441
175320,tt0285403,tvSeries,Scrubs,Scrubs,0,2001,2010,22,"Comedy,Drama",8.4,273058
457125,tt0979432,tvSeries,Boardwalk Empire,Boardwalk Empire,0,2010,2014,60,"Crime,Drama",8.6,205837
164266,tt0264235,tvSeries,Curb Your Enthusiasm,Curb Your Enthusiasm,0,2000,2024,30,Comedy,8.8,150833
1044137,tt2861424,tvSeries,Rick and Morty,Rick and Morty,0,2013,\N,23,"Adventure,Animation,Comedy",9.1,620063
720532,tt1474684,tvSeries,Luther,Luther,0,2010,2019,60,"Crime,Drama,Mystery",8.4,156195
959761,tt2356777,tvSeries,True Detective,True Detective,0,2014,\N,60,"Crime,Drama,Mystery",8.9,670571
1124687,tt3398228,tvSeries,BoJack Horseman,BoJack Horseman,0,2014,2020,25,"Animation,Comedy,Drama",8.8,196100
1184921,tt4288182,tvSeries,Atlanta,Atlanta,0,2016,2022,30,"Comedy,Drama,Music",8.6,90395
233015,tt0412142,tvSeries,House,House M.D.,0,2004,2012,45,"Drama,Mystery",8.7,530358
88069,tt0116282,movie,Fargo,Fargo,0,1996,\N,98,"Crime,Thriller",8.1,736091
1032580,tt2802850,tvSeries,Fargo,Fargo,0,2014,2024,60,"Crime,Drama,Thriller",8.9,429587
33196,tt0052520,tvSeries,The Twilight Zone,The Twilight Zone,0,1959,1964,50,"Drama,Fantasy,Horror",9.1,95627
89810,tt0118421,tvSeries,Oz,Oz,0,1997,2003,60,"Crime,Drama,Thriller",8.7,108539
45065,tt0066026,movie,M*A*S*H,MASH,0,1970,\N,116,"Comedy,Drama,War",7.4,78572
46897,tt0068098,tvSeries,M*A*S*H,M*A*S*H,0,1972,1983,25,"Comedy,Drama,War",8.5,64992
127551,tt0187664,tvSeries,Spaced,Spaced,0,1999,2001,25,Comedy,8.5,58264
1454671,tt9253284,tvSeries,Andor,Andor,0,2022,\N,40,"Action,Adventure,Drama",8.4,176228
892584,tt2085059,tvSeries,Black Mirror,Black Mirror,0,2011,\N,60,"Crime,Drama,Mystery",8.7,654428
212538,tt0367279,tvSeries,Arrested Development,Arrested Development,0,2003,2019,22,Comedy,8.7,328154
79754,tt0106145,tvSeries,Star Trek: Deep Space Nine,Star Trek: Deep Space Nine,0,1993,1999,45,"Action,Adventure,Drama",8.1,72181
742393,tt1520211,tvSeries,The Walking Dead,The Walking Dead,0,2010,2022,45,"Drama,Horror,Thriller",8.1,1104979
1202816,tt4574334,tvSeries,Stranger Things,Stranger Things,0,2016,2025,60,"Drama,Fantasy,Horror",8.7,1377237
231929,tt0409459,movie,Watchmen,Watchmen,0,2009,\N,162,"Action,Drama,Mystery",7.6,588713
1353922,tt7049682,tvMiniSeries,Watchmen,Watchmen,0,2019,2019,59,"Crime,Drama,Mystery",8.2,136900
140098,tt0212985,movie,Hannibal,Hannibal,0,2001,\N,131,"Crime,Drama,Thriller",6.8,297590
936940,tt2243973,tvSeries,Hannibal,Hannibal,0,2013,2015,45,"Crime,Drama,Horror",8.5,281872
913378,tt2149175,tvSeries,The Americans,The Americans,0,2013,2018,44,"Crime,Drama,Mystery",8.4,113555
1138258,tt3581920,tvSeries,The Last of Us,The Last of Us,0,2023,\N,50,"Action,Adventure,Drama",8.7,564459
39876,tt0060028,tvSeries,Star Trek,Star Trek,0,1966,1969,50,"Action,Adventure,Sci-Fi",8.4,94558
400024,tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,"Action,Adventure,Sci-Fi",7.9,623727
79627,tt0106004,tvSeries,Frasier,Frasier,0,1993,2004,22,Comedy,8.2,97051
156600,tt0248654,tvSeries,Six Feet Under,Six Feet Under,0,2001,2005,60,"Comedy,Drama",8.7,152721
81912,tt0108757,tvSeries,ER,ER,0,1994,2009,44,"Drama,Romance",7.9,69015
223232,tt0390022,movie,Friday Night Lights,Friday Night Lights,0,2004,\N,118,"Action,Drama,Sport",7.2,67441
387068,tt0758745,tvSeries,Friday Night Lights,Friday Night Lights,0,2006,2011,45,"Drama,Sport",8.7,73600
267737,tt0496424,tvSeries,30 Rock,30 Rock,0,2006,2013,22,Comedy,8.3,133244
720950,tt1475582,tvSeries,Sherlock,Sherlock,0,2010,2017,90,"Crime,Drama,Mystery",9.1,1017439
1369467,tt7366338,tvMiniSeries,Chernobyl,Chernobyl,0,2019,2019,60,"Drama,History,Thriller",9.3,893213
1126702,tt3428912,tvSeries,Happy Valley,Happy Valley,0,2014,2023,60,"Crime,Drama,Thriller",8.5,66296
175273,tt0285331,tvSeries,24,24,0,2001,2010,44,"Action,Crime,Drama",8.4,198855
