tconst,parentTconst,seasonNumber,episodeNumber
tt2193619,tt1723816,1.0,1.0
tt2240296,tt1723816,2.0,1.0
tt2307299,tt1723816,1.0,3.0
tt2307301,tt1723816,1.0,2.0
tt2338795,tt1723816,1.0,4.0
tt2338797,tt1723816,1.0,5.0
tt2344962,tt1723816,2.0,9.0
tt2362053,tt1723816,1.0,6.0
tt2362055,tt1723816,1.0,7.0
tt2372991,tt1723816,1.0,8.0
tt2382432,tt1723816,2.0,7.0
tt2385527,tt1723816,1.0,9.0
tt2390641,tt1723816,1.0,10.0
tt2563392,tt1723816,2.0,3.0
tt2563394,tt1723816,2.0,2.0
tt2588918,tt1723816,2.0,4.0
tt2588924,tt1723816,2.0,5.0
tt2599012,tt1723816,2.0,6.0
tt2619896,tt1723816,2.0,10.0
tt2627872,tt1723816,2.0,8.0
tt2651248,tt1723816,3.0,1.0
tt3000706,tt1723816,3.0,7.0
tt3031946,tt1723816,3.0,2.0
tt3031948,tt1723816,3.0,3.0
tt3031952,tt1723816,3.0,4.0
tt3031956,tt1723816,3.0,6.0
tt3031960,tt1723816,3.0,8.0
tt3041332,tt1723816,3.0,9.0
tt3144358,tt1723816,3.0,5.0
tt3144360,tt1723816,3.0,10.0
tt3144362,tt1723816,3.0,11.0
tt3505962,tt1723816,4.0,1.0
tt3524102,tt1723816,3.0,12.0
tt3733516,tt1723816,4.0,3.0
tt3773412,tt1723816,4.0,6.0
tt3791114,tt1723816,4.0,5.0
tt3796084,tt1723816,4.0,2.0
tt3842870,tt1723816,4.0,7.0
tt3846594,tt1723816,4.0,9.0
tt3869166,tt1723816,4.0,4.0
tt3899746,tt1723816,4.0,8.0
tt3906242,tt1723816,4.0,10.0
tt4355374,tt1723816,5.0,1.0
tt4355376,tt1723816,5.0,10.0
tt4560742,tt1723816,5.0,2.0
tt4585518,tt1723816,5.0,3.0
tt4692228,tt1723816,5.0,4.0
tt4700568,tt1723816,5.0,5.0
tt4723998,tt1723816,5.0,6.0
tt4724000,tt1723816,5.0,7.0
tt4724004,tt1723816,5.0,8.0
tt4724014,tt1723816,5.0,9.0
tt5321378,tt1723816,6.0,1.0
tt5462316,tt1723816,6.0,10.0
tt5463740,tt1723816,6.0,2.0
tt5464210,tt1723816,6.0,3.0
tt5464212,tt1723816,6.0,4.0
tt5464338,tt1723816,6.0,5.0
tt5464340,tt1723816,6.0,6.0
tt5464362,tt1723816,6.0,7.0
tt5464368,tt1723816,6.0,8.0
tt5464372,tt1723816,6.0,9.0
tt1465794,tt1442462,1.0,2.0
tt1465795,tt1442462,1.0,1.0
tt1477534,tt1442462,1.0,3.0
tt1516368,tt1442462,1.0,5.0
tt1517543,tt1442462,1.0,4.0
tt1520787,tt1442462,1.0,6.0
tt1535866,tt1442462,1.0,7.0
tt1541471,tt1442462,1.0,8.0
tt1548489,tt1442462,1.0,9.0
tt1553771,tt1442462,1.0,11.0
tt1565894,tt1442462,1.0,10.0
tt1570315,tt1442462,1.0,12.0
tt1583696,tt1442462,1.0,13.0
tt1588694,tt1442462,1.0,14.0
tt1608467,tt1442462,1.0,15.0
tt1608468,tt1442462,1.0,16.0
tt1608469,tt1442462,1.0,17.0
tt1609416,tt1442462,1.0,18.0
tt1632287,tt1442462,2.0,1.0
tt1632288,tt1442462,2.0,10.0
tt1632289,tt1442462,2.0,11.0
tt1632290,tt1442462,2.0,12.0
tt1632291,tt1442462,2.0,13.0
tt1632292,tt1442462,2.0,14.0
tt1632293,tt1442462,2.0,15.0
tt1632294,tt1442462,2.0,16.0
tt1632295,tt1442462,2.0,17.0
tt1632296,tt1442462,2.0,18.0
tt1632297,tt1442462,2.0,2.0
tt1632298,tt1442462,2.0,3.0
tt1632299,tt1442462,2.0,4.0
tt1632300,tt1442462,2.0,5.0
tt1632301,tt1442462,2.0,6.0
tt1632302,tt1442462,2.0,7.0
tt1632303,tt1442462,2.0,8.0
tt1632304,tt1442462,2.0,9.0
tt1632305,tt1442462,1.0,23.0
tt1641358,tt1442462,1.0,19.0
tt1641359,tt1442462,1.0,20.0
tt1644964,tt1442462,1.0,22.0
tt1644990,tt1442462,1.0,21.0
tt1869080,tt1442462,2.0,19.0
tt1869081,tt1442462,2.0,20.0
tt1869082,tt1442462,2.0,21.0
tt1869083,tt1442462,2.0,22.0
tt1869084,tt1442462,2.0,23.0
tt1982519,tt1442462,3.0,1.0
tt2006603,tt1442462,3.0,2.0
tt2055451,tt1442462,3.0,3.0
tt2063495,tt1442462,3.0,4.0
tt2078374,tt1442462,3.0,6.0
tt2078375,tt1442462,3.0,5.0
tt2082056,tt1442462,3.0,7.0
tt2092967,tt1442462,3.0,8.0
tt2103915,tt1442462,3.0,9.0
tt2113498,tt1442462,3.0,10.0
tt2113499,tt1442462,3.0,11.0
tt2148559,tt1442462,3.0,12.0
tt2148561,tt1442462,3.0,13.0
tt2175127,tt1442462,3.0,14.0
tt2213861,tt1442462,3.0,15.0
tt2223397,tt1442462,3.0,16.0
tt2223399,tt1442462,3.0,17.0
tt2223401,tt1442462,3.0,18.0
tt2223403,tt1442462,3.0,19.0
tt2223405,tt1442462,3.0,20.0
tt2223407,tt1442462,3.0,21.0
tt2223409,tt1442462,3.0,22.0
tt2245406,tt1442462,4.0,1.0
tt2371912,tt1442462,4.0,3.0
tt2371914,tt1442462,4.0,5.0
tt2387486,tt1442462,4.0,2.0
tt2404802,tt1442462,4.0,4.0
tt2446304,tt1442462,4.0,9.0
tt2461422,tt1442462,4.0,6.0
tt2477568,tt1442462,4.0,7.0
tt2481622,tt1442462,4.0,8.0
tt2483834,tt1442462,4.0,10.0
tt2494586,tt1442462,4.0,11.0
tt2559910,tt1442462,4.0,12.0
tt2608082,tt1442462,4.0,13.0
tt2608084,tt1442462,4.0,14.0
tt2648234,tt1442462,4.0,16.0
tt2663514,tt1442462,4.0,15.0
tt2697926,tt1442462,4.0,17.0
tt2698008,tt1442462,4.0,18.0
tt2734906,tt1442462,4.0,19.0
tt2797588,tt1442462,4.0,20.0
tt2801442,tt1442462,5.0,1.0
tt2820968,tt1442462,4.0,21.0
tt2831606,tt1442462,4.0,22.0
tt3150052,tt1442462,5.0,2.0
tt3150054,tt1442462,5.0,3.0
tt3163792,tt1442462,5.0,4.0
tt3227430,tt1442462,5.0,8.0
tt3234826,tt1442462,5.0,5.0
