tconst,averageRating,numVotes
tt2193619,7.0,1336
tt2240296,7.3,820
tt2307299,7.6,1018
tt2307301,7.3,1050
tt2338795,7.6,962
tt2338797,7.3,892
tt2344962,7.4,742
tt2362053,7.2,888
tt2362055,7.9,993
tt2372991,7.6,882
tt2382432,6.9,761
tt2385527,7.2,827
tt2390641,7.6,877
tt2563392,7.6,837
tt2563394,7.3,764
tt2588918,8.0,864
tt2588924,7.6,1171
tt2599012,7.4,757
tt2619896,7.9,834
tt2627872,7.4,707
tt2651248,7.4,682
tt3000706,8.2,782
tt3031946,7.3,640
tt3031948,7.2,581
tt3031952,7.0,596
tt3031956,7.6,571
tt3031960,7.3,546
tt3041332,7.8,576
tt3144358,7.1,549
tt3144360,7.4,544
tt3144362,7.3,522
tt3505962,7.2,581
tt3524102,8.0,603
tt3733516,7.0,492
tt3773412,7.3,469
tt3791114,7.9,622
tt3796084,7.1,509
tt3842870,7.4,500
tt3846594,7.4,472
tt3869166,7.2,511
tt3899746,7.2,486
tt3906242,7.9,579
tt4355374,7.7,591
tt4355376,8.4,701
tt4560742,7.5,510
tt4585518,8.0,613
tt4692228,7.3,482
tt4700568,7.4,483
tt4723998,8.9,1328
tt4724000,7.6,520
tt4724004,7.2,480
tt4724014,7.7,518
tt5321378,7.6,643
tt5462316,6.1,965
tt5463740,7.5,556
tt5464210,8.6,1153
tt5464212,7.6,516
tt5464338,7.8,493
tt5464340,7.7,491
tt5464362,8.0,512
tt5464368,8.2,643
tt5464372,8.3,708
tt1465794,7.7,1027
tt1465795,7.9,1321
tt1477534,7.6,936
tt1516368,7.6,854
tt1517543,7.6,891
tt1520787,8.0,866
tt1535866,7.7,837
tt1541471,7.8,798
tt1548489,7.9,835
tt1553771,8.0,837
tt1565894,8.0,796
tt1570315,7.6,782
tt1583696,7.7,775
tt1588694,8.1,807
tt1608467,7.8,777
tt1608468,8.0,779
tt1608469,7.9,802
tt1609416,8.4,905
tt1632287,7.9,774
tt1632288,7.9,711
tt1632289,7.8,677
tt1632290,7.6,661
tt1632291,8.2,724
